Workload,IPC,MPKI,Write-Read-Ratio
xalancbmk,1.6143745451968232,1.9902005445977125,0.8224349839748137
perlbench,2.6271244825055606,0.06217997923307397,0.001006218429896762
x264,3.249249942303254,0.15081621587189742,0.011132233668988304
leela,2.8531242603202145,0.017782461957027772,0.0028926202906730636
deepsjeng,2.5354996056587478,0.29653026093283924,0.23964281958548417
lbm,0.2698843613655433,33.882183433552385,0.7508037702557839
omnetpp,0.49773744005919385,12.012510870192294,0.4831472961379197
xz,1.7097482818150507,2.0757032726740294,0.7851806855193093
pop2,1.2472388654358573,4.3375514054214035,0.491974928422383
bwaves,0.6058673532020318,16.788925465011815,0.4355261927974452
mcf,0.782689473950235,15.177041567430175,0.06935820405675665
imagick,3.4497498006707823,0.03907874623316926,0.0
cam4,1.0653370337246533,5.720824167399865,0.6874068205138245
gcc,0.2869874787677763,17.787941643576993,0.0013606251074792636
fotonik3d,0.40039677102006016,18.20807896155608,0.5592274601336915
wrf,0.4167860393439254,19.321201667091493,0.3739923042348862
exchange2,3.5237491661065783,8.999999775000006e-05,0.0
cactubssn,1.223748619724349,6.350451662962245,0.1392811257355569
roms,0.7772536145691067,8.006508119544423,0.3467092217157215
nab,3.1378731340443915,0.17818748063436426,0.06036584506546033

bellmanford,0.3459749367971401,29.471484138592132,0.10992802330030706
cf,0.30918703530200664,16.1387519920791,0.9969296705571263
bfs-bitvector,0.5604998928786363,16.683948300615892,0.029387218311347916
bfscc,0.5727235148973436,19.10288565933255,0.026593921219241208
bfs,0.6044603480136902,16.74151148907769,0.0901853380703691
pagerank,0.2877963653507139,36.431840056373204,0.29830624606306305
mis,0.4205982128780808,19.501947774687622,0.5472856496942409
triangle,0.7125641371495641,8.823468930844339,0.8191262347457957
radii,0.2184117841171055,44.91706722276534,0.3606930000806491
bc,0.3091749535141139,25.513009512696076,0.7724875875558467
pagerankdelta,0.3997999312155871,19.402778429231066,0.42825640276925325
components,0.3740612582516342,40.478204463353485,0.0027767822221234383
components-shortcut,0.38758757301686964,37.16873355529132,0.011790860318426244

add,0.18154968319164405,62.655237218226624,0.3341887333744943
scale,0.2541982740068021,41.93453544697176,0.5011129817031211
copy,0.21726013335580294,50.33145739386307,0.500238714138434
triad,0.2109124474114362,53.613843906146585,0.33355393714141535

