Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP
wrf,0.4243854995912406,19.325703556710803,7.185477365272299,0.37424759129930874,0.17210851924915743,17.51457373208896
perlbench,2.6271244825055606,0.06217872464403771,7.874999862187503e-05,0.0012678352216699202,0.0,1.084967320261438
roms,0.7916913889103914,7.923290408150604,2.70930494242727,0.34765400066661467,0.06745749416906699,8.619452892589788
gcc,0.28699997387669407,17.787175067831996,0.024324999574312507,0.0013676315075031034,0.03201400883523363,1.7412971006541615
cam4,1.06773432719541,5.788251172273449,3.8127824428082633,0.6863251630689017,0.3253419556120911,15.141419182531383
cactubssn,1.2324989848116221,6.346970852012216,0.8799449813011692,0.13865611763816055,0.010661310314895768,12.172827692009927
exchange2,3.5237491661065783,8.999999775000006e-05,0.0,0.0,0.0,nan
leela,2.8534991233757254,0.017711229226437395,8.124999827343754e-05,0.004606335482956559,0.0,1.2366071428571428
nab,3.1598746488722678,0.1623641247754054,0.01416249973445313,0.08767992570809473,0.15039750598751017,3.146866379588298
x264,3.2476248508736485,0.15098372882007716,0.005613749901759377,0.037242202854323364,0.00022222222222222223,1.3269286526542508
lbm,0.28242218036593225,33.78328884272932,25.392567055630078,0.7516272572160502,0.04990798934261413,30.970550902037246
xz,1.7084991224214954,2.075681429155756,1.4423262229563834,0.7853358634086048,0.002337227648370621,7.764888385376786
imagick,3.4497498006707823,0.03907874623316926,0.0,0.0,0.0,nan
omnetpp,0.5004497652052139,12.016746930210832,5.359151162913793,0.4834011438622404,0.00335775915383641,17.548608154113357
pop2,1.2557405129893018,4.338518552626301,2.004902469926463,0.49218510742370297,0.22134637500532633,9.142403476836385
bwaves,0.636489564217161,15.9965533325489,6.077142378457152,0.4343756251441266,0.040078845365763144,24.720860095374
mcf,0.7886084634265912,15.164394958397226,1.0488499855783127,0.06939685983923463,0.06089019930420847,19.143303825309168
fotonik3d,0.4224606148574708,17.48457239741505,9.754297304914054,0.5734050655653322,0.007487150671136224,25.38144705705895
xalancbmk,1.6199998456789684,1.9893402694728604,1.4854024740054568,0.8222765491180567,0.20075664111730704,6.848851615994307
deepsjeng,2.5348747596199295,0.29254418182712316,0.07093749884726565,0.25925672125905114,0.0,1.208422317743103

bfscc,0.5751609370469423,19.034401568112226,0.5411874959410938,0.028441674137574143,0.072695991872587,15.442520637993816
triangle,0.7249210029412884,8.580033471699071,7.028214920932582,0.8218493207350696,0.25859113006830253,17.888387486086035
pagerankdelta,0.4087249097742258,19.41440120292962,7.934382361148309,0.42841338846086585,0.022790329634078968,23.364800842030945
bfs-bitvector,0.5612247962638405,16.78642001542509,0.488914988388269,0.029187752862717894,0.051130484320944095,14.62381704499255
components-shortcut,0.3888748676823774,37.097717110599135,0.4379687412406252,0.011804348636126486,0.07622917900115328,21.431909918310993
radii,0.22386173980266727,44.797427951976125,15.916695911770212,0.36105100694197717,0.0167427972061241,22.47952821082223
bc,0.3265749100486342,25.450666226688217,19.623218553767813,0.7714106273081153,0.12127727164639432,29.14796232563596
cf,0.3360498437731927,16.111962674407756,16.044691129664816,0.9969320216906012,0.12982669885537995,26.226160372048064
mis,0.43137177530674825,19.416470581972767,10.571869788562605,0.5449796061865637,0.16702354274483,22.780031636988703
bfs,0.6096476503972176,16.684910153447323,1.5647799726163505,0.09390880518077399,0.10959891001200524,21.11326269664748
components,0.3743249230911333,40.49762007896794,0.11249124732833288,0.0027768085619246236,0.10501945583660365,20.550561894246105
pagerank,0.29495782900448886,36.4081609224331,10.859367445703162,0.2983483287742815,0.12452061420982263,27.305831025498804
bellmanford,0.3501124326047254,29.45363329212247,3.2237936935836102,0.1100571260851351,0.004597183887576286,23.727366852698783

scale,0.26582484238779125,41.7285316919985,20.8786775,0.5003451024228224,0.1565873396083858,29.243386923609084
add,0.18858713602838775,62.62909350863136,20.870222186946666,0.3332346107716141,0.16243425062386957,28.09792314192498
copy,0.22466038158354604,50.29874362205921,25.164128529813876,0.5002887968110032,0.12901694337391711,29.76128303870269
triad,0.21894980598550148,53.62361951535289,17.907052432848552,0.3339393779751616,0.15407987310279148,28.448561788658836

