Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP
wrf,0.36440319522164594,22.302069380406756,8.27831723095469,0.3739404279461642,0.0,18.699282645415988
perlbench,2.651998113669138,0.06057247969376965,0.0,0.0,0.0,nan
roms,0.677162252884244,9.258001169934056,3.033387393831441,0.33619826402877656,0.0,9.219851969679496
gcc,0.28714995646874036,17.78864644054464,0.024349999634750007,0.0013689369375447119,0.0,2.1434506997303204
cam4,1.0501551307741115,5.742530683192379,3.6904349261913016,0.6815758429235973,0.0,17.073428574706938
cactubssn,1.383873475703884,5.028964821116479,0.80303745583294,0.15971644197024798,0.0,8.771392872384531
exchange2,3.5173743645834157,0.00017999999235000032,0.0,0.0,0.0,nan
leela,2.8599993877447933,0.011037495644471063,3.999999860000005e-05,0.0036438168982008655,0.0,nan
nab,3.153624529145215,0.16743989153370664,0.005947499836443755,0.03579435174457969,0.0,1.241645759982387
x264,3.1992499414016717,0.1757174944794497,0.0002449999926500002,0.0013956734124214933,0.0,1.09375
lbm,0.2284480790500531,37.833872911535984,28.354378794938903,0.7500000991910376,0.0,24.862718205850058
xz,1.7867459780032995,1.924883412564141,1.3135899835801252,0.7744790238754315,0.0,7.347987308523113
imagick,3.4499997101448545,0.03907499444734894,0.0,0.0,0.0,nan
omnetpp,0.4862249138840392,12.016059459107685,5.352719839418405,0.48295221676332456,0.0,16.8204569680793
pop2,1.3311219099263134,3.448843267330807,1.0084749470550654,0.30614235137422163,0.0,5.718920773488799
bwaves,0.5985472183460933,19.30093285294743,6.1471723002169005,0.43831403923895074,0.0,19.765219756827143
mcf,0.6843382131133993,17.637239090096095,1.2837274614881762,0.07299592466631677,0.0,18.802065189006846
fotonik3d,0.39543379431382725,18.233236120045472,9.770617206881484,0.56163391801554,0.0,20.49718409557742
xalancbmk,1.6231241629173283,2.622802239316317,1.900924966733813,0.791037742228455,0.0,12.624878675399174
deepsjeng,2.5179998014296907,0.2970908891912063,0.03782999924340002,0.13589094239991378,0.0,1.140419838269335

bfscc,0.376561405757646,34.05559963829668,0.8385999748420008,0.024635903612688106,0.0,21.002540560203713
triangle,0.6814195899502492,9.93219069763271,7.949562301260943,0.803466364870113,0.0,20.434038351109862
pagerankdelta,0.3757995872590331,19.08238565840293,9.761364707159059,0.5470914888167382,0.0,20.596707202881284
bfs-bitvector,0.5722865422676998,15.879330796258834,0.5018649874533753,0.03168355148202272,0.0,13.324394259802839
components-shortcut,0.41335367169770454,33.11625543867745,0.41250999071852523,0.012459389039597696,0.0,19.29920084630141
radii,0.23203696071954744,39.92514449948361,13.965164720696706,0.3540309490122869,0.0,17.801942576062455
bc,0.26634998122241965,29.76613112308315,25.63122147475114,0.8610866845830001,0.0,25.460075848889634
cf,0.3034746807184042,16.132791676628653,16.058711897798304,0.9969254861060994,0.0,20.492013702812987
mis,0.4102044577134946,19.55493529705239,10.531654473417277,0.5394336785234645,0.0,21.944200510252195
bfs,0.40423652980346664,29.039934485155083,1.7228899440060768,0.05947039320965601,0.0,17.34879694458354
components,0.40004168180472943,36.22483019213723,0.09921749627934388,0.002738104420665344,0.0,16.612134872593842
pagerank,0.3066487860547975,43.54464135722464,4.376532303056046,0.10057665974673438,0.0,22.92408436702572
bellmanford,0.3555499578266641,29.19708517352141,2.5907623575080705,0.08912615422457051,0.0,19.23847175342013

scale,0.24283603483581853,41.893496597408564,20.94682863845614,0.4999989855287466,0.0,24.375463586413264
add,0.1793618047551416,62.663480281459016,20.834996770775113,0.3324889453596203,0.0,23.847805212249092
copy,0.208586930869289,50.13831157621559,25.0693598119798,0.5000027174754463,0.0,24.396077282768175
triad,0.20669968546396408,53.67988079531904,17.895351426278914,0.33337115004773427,0.0,23.85765401809104

whiskey,0.8237314320419168,10.775518123816965,4.756439845415705,0.4669097527109133,0.0,21.704514289995146
charlie,0.8524667392026484,11.41902230809012,3.746682303299179,0.3382018853622314,0.0,20.811026853695203
merced,0.6250056749349963,15.534403363246955,6.00888225964471,0.4009249343621873,0.0,21.945494050861868
delta,0.5687342126550381,18.959613881764245,5.517242279310309,0.2950939905522727,0.0,23.199575750862124

