Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.7682389430841992,26.680522106478804,5.987186100320348,0.39317622096643673,0.052534055829276886,26.40171581960728,7.989473580570651,0.35004192360938724,0.2710384259575063,1.1215516823648197,4779.939792252162,22019065,229781,1992426,657587,2390942
fotonik3d,0.44262404104475994,42.55595338196112,9.745263664728943,0.35750603641959783,0.011256279261187663,27.315692946969172,7.9798402671402116,0.32701029412046084,0.25297103361086964,1.1100154428258724,4735.148349371252,37125883,421300,4230281,1324340,4977885
wrf,0.5335365678807378,35.72225343996584,8.025109839497803,0.3611369334854513,0.08815948498013887,26.953532277566296,7.979343155557137,0.3093143425213963,0.2462811888412539,1.0912617092850159,4522.84467627235,28067999,356170,3036820,1115378,3629303
omnetpp,0.4320123874885139,21.959899888358006,6.672814949953888,0.44340594780482884,0.0011496527547253039,20.69451302900233,7.459303373902791,0.22733793748744985,0.16460741656646682,1.0811875255231185,4927.623103592711,21732264,342548,2664293,632798,3235421
roms,1.0816208516456791,15.68182107422768,2.6581362101279566,0.3272409679028213,0.10434599437139863,12.437965994436194,5.132869901251636,0.2561750887841491,0.16947230700611055,1.1165634283964956,5569.747314495259,8980646,66734,587974,186384,708313
lbm,0.2723098905283765,72.11347820560279,25.427095805025825,0.7448347278792712,0.029637179189179942,30.039547278889266,7.998560411161003,0.47927978382472936,0.412054661763912,1.1291002729922626,4333.918410365084,63285377,2097557,14246822,4753765,17538827
cam4,0.910215716776196,22.577416135109548,6.11130242360872,0.5272663035401493,0.11383449184376217,27.627054626469654,7.978416659650464,0.393528739668278,0.3266900548615624,1.1102091544620876,4413.257671339293,17947655,386229,2856062,924183,3481460

bc,0.3587633752167634,73.56962430378775,19.93357105066429,0.7598431831992292,0.08889026590543604,29.942728643225028,7.998533818055289,0.4800319595606742,0.422268710858976,1.1110899982485336,4168.160450426062,47751350,1533508,13023933,4088078,15421597
pagerankdelta,0.4608096490373245,33.57142836037513,8.355327353781771,0.37049915765185465,0.010043564997760837,25.500984117282712,7.893956966339058,0.2923972916722961,0.2237380649673073,1.0970307573684293,4731.144491942417,30593903,476213,3984991,1053649,4784821
radii,0.2185368035756617,83.07180900026168,16.16479592670408,0.3009612659225283,0.01763089777021668,25.49396612670485,7.912480899326592,0.2692343501119946,0.20389931418298146,1.0894062767441601,4746.992180615948,67708977,611969,6757570,1958278,7849083
mis,0.5250731735319287,36.83909317276426,10.331484793370304,0.5093258115458484,0.07929946847868229,27.723709108812887,7.98730800646101,0.38953930220770394,0.3200569276875925,1.1138195706478589,4473.555547919781,29949073,631651,4839642,1556921,5869413
cf,0.4868964850511852,64.17198619673339,16.271659471171066,0.9924290027456739,0.08202968485272669,29.97527746922375,7.9980266738602355,0.5382992173784322,0.4738566742414743,1.139576421705523,4272.028498628904,31956449,1239503,8228848,3190282,10111765
bellmanford,0.34257476834099887,52.19753644196165,3.3004424504933634,0.0742781427890235,0.004196448930960067,22.124191815016502,7.838471176581317,0.09426317012536577,0.06175694098072163,1.0358892650408655,5217.753255813425,46783318,24929,748041,184531,809726
pagerank,0.33272286745686686,79.96233031384885,10.857723546417683,0.2737531684164689,0.08879905217731401,28.903504605600524,7.980085658139387,0.24370188559943445,0.20107895918493782,1.0563573088480847,4224.905917319917,53384891,537134,5308922,2003285,6203101
triangle,0.5206835851126391,37.48127654353967,10.426404739339882,0.5080693256714947,0.08705909167882858,27.640184990799863,7.987540244014725,0.38657723603052097,0.31763660627095464,1.1123868134815365,4467.612539509064,31154868,634592,4808932,1561018,5843485

add,0.2025960764793581,147.18753366664458,21.038508513316778,0.33332366219545867,0.12581282782755793,26.97090810928615,7.995813110862301,0.30406534871885027,0.2448881618841751,1.0850326776023231,4445.861171600387,84041784,842286,10330753,2916875,11879936
triad,0.23707944899977407,129.70248538972407,17.987127342612634,0.33332141937453846,0.12310249392712391,27.34467470051971,7.9962130665845805,0.29965917873375775,0.24324313553295415,1.08055512614387,4392.865028615603,71892524,682876,9403816,2652632,10679483
scale,0.26498791252892817,138.9901696549125,22.60331613698342,0.49999322564336757,0.09081467040215496,29.078275956727214,7.998070797333323,0.4217207148717073,0.3638964851212791,1.099993603847663,4206.79329476709,66717973,1156742,13732804,4104525,15754777
copy,0.22232036583061407,147.39770951672264,26.048548619757256,0.4999843806158404,0.08005763128290178,29.55604192114095,7.998521666527169,0.3783036362858686,0.32568991716310364,1.0846292856024453,4157.4924422612985,77485432,1141839,16014865,4974653,18156572

delta,0.5010655939052495,41.2131100087904,5.4356174456438255,0.19650596236109164,0.059715175912387536,25.092794542968058,7.947990357924013,0.21099805032422508,0.15503183853516303,1.0709329195093376,4809.874594744755,35374682,229817,2328440,544094,2736151
merced,0.46862636503075755,37.673663054693826,7.330371075903687,0.2800336252542392,0.03574284818382538,25.043203848215335,7.930052795331198,0.2700090657630281,0.20028408949074816,1.0955148523113654,4873.759620292083,28900254,223126,2385227,797082,2782266
whiskey,0.6035734549315256,29.41608104676516,5.709034821592661,0.28935777248592676,0.016750101133009385,25.065254552852018,7.873772019863587,0.26792252157938895,0.19929467496795372,1.0937439664985917,4852.2496498970495,25486709,207534,2113039,649372,2480380
charlie,0.6508949655852088,25.562208280474795,5.744387349209832,0.3268163174683457,0.032350672326342284,25.41703448257234,7.776514321346052,0.2793095144723749,0.215340101831317,1.0887612836934086,4660.230787007318,29592338,284593,2928686,757443,3425661

mix3,0.3052790898598583,85.18090185799636,29.40386066192279,0.4546153878116651,0.07387210850415507,27.880109950868004,7.981960020546789,0.4336346626315201,0.3658600571844514,1.1196658781449653,4379.367343124026,86218318,1366600,13291681,4596989,15617566
mix1,0.2545340977559466,122.08054418603503,33.694128160352754,0.40499505717765777,0.09406790379705177,28.060469988671212,7.986292983809251,0.5560892044932976,0.48778814976684504,1.1538621169338543,4340.912917061255,104916532,1422568,15721148,5341530,18171978
mix2,0.33654821746880664,52.626344853541035,14.174828572814643,0.41141949604130934,0.09119722936336722,27.507457913862634,7.98528159251441,1.1371918780723889,1.1933563401753726,1.4093862034117557,4432.079686324253,49070072,736429,7236125,2082346,8487638
mix5,0.3092927946857321,61.12487397533929,16.885755933392076,0.42530857418695334,0.05633793490898867,27.689147869248064,7.990592977602038,0.5879518072474466,0.5098019784266508,1.1896618652753732,4527.700522740875,55349614,845886,7646143,2469028,9083950
mix0,0.2355233361029438,70.36011116631819,30.392799582099006,0.53320310037196,0.06184138152887168,28.518682949703585,7.985543809037487,2.078887487747539,3.173402139320886,2.0144845166926846,4354.955772419784,79714006,1713394,14885195,5064892,17700285
mix4,0.17207464870366,137.1391779973692,46.9453842371375,0.4822276629538249,0.06749618256724023,28.589560302832055,7.991839233455487,1.5511436039767352,1.883904748973741,1.6037648674428824,4357.603397224242,128479523,2359909,22431239,7844944,26370205

