Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP
wrf,0.4249830655103402,19.397232022498468,7.168122401438317,0.3735714689145369,0.12261894139234816,18.482788319873904
perlbench,2.6271244825055606,0.06217997923307397,6.249999890625002e-05,0.001006218429896762,0.0,1.0717948717948718
roms,0.7883171594457876,8.118497197129463,2.6881399428770263,0.34595951146059895,0.019730386631110076,9.937205884123838
gcc,0.28697497604662314,17.786018140414228,0.024152499577331257,0.0013580311991537783,0.0007259822307839297,2.0417048543075658
cam4,1.0674497085491415,5.814159897730577,3.8176911879625184,0.6833642480125478,0.3274568847766769,15.354089224414153
cactubssn,1.2277459712377048,6.363121195774376,0.8868887378052799,0.13943837960768407,0.0017786788731050072,11.626610773484451
exchange2,3.5237491661065783,8.999999775000006e-05,0.0,0.0,0.0,nan
leela,2.8531242603202145,0.017782461957027772,5.1249998910937524e-05,0.0028926202906730636,0.0,1.4583333333333333
nab,3.1377482685248084,0.17820740887235267,0.010646249773767193,0.0600059181602976,0.01323931784325037,3.275110805041242
x264,3.249249942303254,0.15081621587189742,0.0016762499706656254,0.011132233668988304,0.0,1.223133132414849
lbm,0.2802585611538294,34.27307878764658,25.436953273057124,0.7513497078165309,0.031212648019704206,31.200821258441728
xz,1.7054964800272943,2.0903625776718187,1.4500887191856147,0.7842721149510299,0.00241220099811102,7.840939838192257
imagick,3.4497498006707823,0.03907874623316926,0.0,0.0,0.0,nan
omnetpp,0.5012999600947701,11.993839830530703,5.343848683201892,0.483502903056123,0.003546545244838685,17.538709283181362
pop2,1.2561203411535282,4.367788183055851,2.0045649699315256,0.48944728372585616,0.19743777325275053,9.239300726645462
bwaves,0.6306017175620114,15.782036389315346,6.2058198991554265,0.4410246160310453,0.014047416362977839,25.15740202932168
mcf,0.7900132084046378,15.15699401903483,1.0479487264211536,0.06936628105986999,0.05732042785575876,19.433614304817226
fotonik3d,0.4058227257337021,18.17108417686667,9.749811079378306,0.559562491140089,0.006532725607207782,22.23050256986379
xalancbmk,1.6136243905493401,2.0161445379401193,1.4868524739800817,0.8213196967112881,0.14164648816475703,7.013347984046975
deepsjeng,2.5361246609987305,0.3022002730114051,0.05905874904029533,0.21601294788385308,0.0,1.2163904702531094

bfscc,0.5741610926956513,19.096793837374168,0.5096537410810595,0.026700294348081997,0.07390738581065813,13.378771439539044
triangle,0.7235502342869877,8.8356827542665,7.212304882800046,0.8186525012780264,0.2601189331825129,17.99978676305053
pagerankdelta,0.4132624156808608,19.593569604236528,7.929344871148146,0.4284572327008767,0.011097426067662987,25.30957225953056
bfs-bitvector,0.5586997941265157,16.894534864191126,0.48918623777034403,0.029023802471216043,0.05079598944652245,13.342082573501354
components-shortcut,0.3885480940074886,37.17804960954886,0.43849749068192834,0.011793622928493626,0.07690588488861165,21.23698555798103
radii,0.2250868499243779,44.95128759441289,15.892251051346863,0.3605665038230886,0.008151488090955674,24.360085579312674
bc,0.3241124503405934,26.29329830329726,19.61188605388114,0.7712425854059918,0.046577426040733665,30.447579160179796
cf,0.33751219287556794,21.172545415190346,16.058982339410175,0.9971455985356057,0.03186348263071265,29.078383913108457
mis,0.4360923766594071,19.420371888688177,10.636846063855193,0.549934717896848,0.08547700087324912,24.885015304425437
bfs,0.6077602190055917,16.750155270683656,1.5035787368436861,0.08992430322220599,0.10890797360413026,18.203858537635277
components,0.37401279671553445,40.497222657397614,0.11243374845403596,0.0027755155996893543,0.06542221621774394,19.63120900715041
pagerank,0.29417060922849303,36.41165417046283,10.860864837087027,0.29837786099961466,0.04022849027230143,27.943913121851345
bellmanford,0.35038744693231394,29.5044812392797,3.220182455722491,0.10988970488650884,0.002908643859783004,24.45611689313963

scale,0.2646100350673811,42.017031342520866,20.990621197523446,0.4997733794802493,0.03845183308897669,31.365005616420326
add,0.1875484854526409,62.974947461447584,21.025644816025608,0.3340488551521811,0.0659991358765658,29.743353243166677
copy,0.22389768427949694,50.3115625700376,25.165916155627816,0.5003784017384261,0.031435359174351786,31.372714375283564
triad,0.21848738062022993,53.623524668295026,17.89506100394291,0.33376132006766407,0.03779969182621292,30.744678534864747

