Workload,IPC,MPKI,Write-Read-Ratio
pop2,1.2504814332098846,4.348311346560953,0.49039107920958475
nab,3.1598746488722678,0.16237409336158073,0.08743461169406011
gcc,0.28717496735098613,17.78891935719861,0.0013682712025818592
wrf,0.41797238164055167,19.30900746900748,0.3742815364051854
omnetpp,0.49794980422737534,12.010546356050671,0.48320017875196497
cam4,1.0592117849434186,5.772261705183769,0.6841118629235343
deepsjeng,2.5348747596199295,0.29254418182712316,0.25925672125905114
xz,1.709122889291125,2.078188201980012,0.7848750792627023
mcf,0.7836521421219328,15.1567140522741,0.06939133847883186
bwaves,0.6206658582842319,16.47166171380287,0.4329738952741471
perlbench,2.6271244825055606,0.06217872464403771,0.0012678352216699202
roms,0.784653680678449,7.917679721474229,0.34778345053463056
xalancbmk,1.6177498840624518,1.9900846503337937,0.8217619663827167
cactubssn,1.205,6.333452226626508,0.13845633353999665
fotonik3d,0.4160101118540224,17.43328794094277,0.5727725918817532
imagick,3.4497498006707823,0.03907874623316926,0.0
x264,3.2476248508736485,0.15098372882007716,0.037242202854323364
lbm,0.2742466478662575,33.80805492342022,0.7518726738895095
exchange2,3.5237491661065783,8.999999775000006e-05,0.0
leela,2.8534991233757254,0.017711229226437395,0.004606335482956559

bc,0.31711240194430496,25.45464907274247,0.7713773202653396
mis,0.4248980467023932,19.393112593161216,0.5466563960894808
bellmanford,0.346449956719321,29.431425172525632,0.11007081373913473
pagerankdelta,0.400349781441166,19.392519597699447,0.4283181395921096
components,0.37377423529403775,40.54411984653867,0.0027712374419490834
bfscc,0.5733111996848094,19.046396500012246,0.028371306719389748
cf,0.32277478515060476,16.106658390972285,0.9969312917957855
bfs,0.6061610737716603,16.670753344649277,0.09357709702616088
components-shortcut,0.38780271615913486,37.13200708983636,0.011802047002369472
radii,0.2188243849964016,44.763572228389144,0.360883836512959
triangle,0.7088835564820454,8.838818023865006,0.8165700297194249
pagerank,0.2879209978140283,36.406223585306414,0.29837276658530326
bfs-bitvector,0.5607746358873488,16.74327275202338,0.029276806453864643

add,0.18273703430275684,62.769692717820504,0.3333226793364396
triad,0.2116873885614016,53.61604913399513,0.3337432850129369
copy,0.21851063609009166,50.29310954250241,0.5002674300784674
scale,0.2559119679413433,41.77154769139235,0.5010856948740455

