Workload,IPC,MPKI
xalancbmk,1.5896239092878104,2.122700819285169
perlbench,2.6266243393867725,0.06217873307172887
x264,3.247874658529331,0.15104373908958607
leela,2.8529993862416863,0.01777870534609399
deepsjeng,2.5352498274185917,0.29589682090408576
lbm,0.2800110496812894,35.13629354378719
omnetpp,0.49426174711706367,12.434563647422166
xz,1.6998681739629087,2.1070753390481602
pop2,1.2314927029223992,4.3577368456547125
bwaves,0.6204640240215955,16.951002046384442
mcf,0.7790153177667158,15.16046098028847
imagick,3.4497498006707823,0.03907874623316926
cam4,1.0519721232264776,5.833080634083957
gcc,0.2870624308507229,17.797438355416034
fotonik3d,0.4126493818509028,18.677902091782702
wrf,0.4120213947033869,19.779053915483995
exchange2,3.5237491661065783,8.999999775000006e-05
cactubssn,1.210124909672757,6.387561767984878
roms,0.7808904953790937,8.160837862166604
nab,3.149748671199305,0.16940084604235528

bellmanford,0.34591243899557417,29.52928726191257
cf,1.7084998536728124,2.0016457869357467
bfs-bitvector,1.491,2.3850999381208764
bfscc,1.4313748362874357,2.389207115061822
bfs,1.45,2.385800335493408
pagerank,0.27838581980060856,57.427510654307376
mis,1.4503748384317103,2.389044331910862
triangle,1.457,2.389687105976328
radii,1.4502498707565052,2.388925678540101
bc,0.314674962254126,26.30637429764728
pagerankdelta,0.8974122620111508,5.970917475445146
components,1.44,2.388997023492393
components-shortcut,1.4503748384317103,2.389044331910862

add,0.1772493648714984,62.71552435734705
scale,0.24842386226349622,41.89599955845403
copy,0.2152980971116329,50.40793483113334
triad,0.2061498059750857,53.659518138143014

