Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP
wrf,0.35348100339002353,22.376816545891536,8.292549771954882,0.37378659539709996,0.0,16.599751500495202
perlbench,2.651998113669138,0.06057247969376965,0.0,0.0,0.0,nan
roms,0.6699870392098964,9.255560929291436,3.0342073710461865,0.3362166687350962,0.0,8.540961217639452
gcc,0.28707494989978904,17.793536669471653,0.024382499634262506,0.0013703861698486379,0.0,2.024828695615363
cam4,1.0026439711694637,5.771078577100908,3.7045324259093513,0.6778324920349206,0.0,14.404519917153515
cactubssn,1.3821249209075295,5.021095636280219,0.8020599578918522,0.1597732266398937,0.0,8.864183757629046
exchange2,3.5173743645834157,0.00017999999235000032,0.0,0.0,0.0,nan
leela,2.8599993877447933,0.011037495644471063,3.999999860000005e-05,0.0036438168982008655,0.0,nan
nab,3.15337468767998,0.167489801537501,0.005952499836306254,0.03581528279181709,0.0,1.2478858973032931
x264,3.1992499414016717,0.17571999297120028,0.00024499999020000037,0.0013956734124214933,0.0,1.2272727272727273
lbm,0.22368587973823165,37.833855619122005,28.352326365906947,0.7499811693468578,0.0,24.083842300720807
xz,1.7871233997145222,1.9178709239121394,1.3104749836190628,0.7748764933878507,0.0,7.310210900135894
imagick,3.4499997101448545,0.03907499444734894,0.0,0.0,0.0,nan
omnetpp,0.4859122817173868,12.021661099473828,5.3542598393722045,0.48297296285555397,0.0,16.814769798230166
pop2,1.322248155633161,3.444809692479322,1.0074874622192203,0.3060200122865142,0.0,5.486337889100389
bwaves,0.5974035573556995,19.621586925430975,6.014894804515919,0.4341596103972034,0.0,19.395796027186876
mcf,0.6830731661570457,17.631388538127926,1.2831199550908017,0.0729886898020502,0.0,18.42622526468788
fotonik3d,0.39577119628668533,18.15231493125392,9.766219780260055,0.5628762756250698,0.0,20.42327497275849
xalancbmk,1.593624696142192,2.6219563410065887,1.9007999667360005,0.7909873713756035,0.0,11.327641841231724
deepsjeng,2.5178746587217784,0.29733377801065763,0.03774249915079377,0.13556567262017008,0.0,1.1392970330020518

bfscc,0.3761870586938148,34.03198567551755,0.8379499643871265,0.024632342917370976,0.0,20.499819094997562
triangle,0.6537215295652147,9.135368843507797,7.342337169594828,0.8061218860211199,0.0,17.623132536183796
pagerankdelta,0.37517483494287424,19.096341236910952,9.74785968319456,0.547052800501042,0.0,20.41387663317881
bfs-bitvector,0.572374311050954,15.82978542085637,0.5019074861975441,0.031785263010571656,0.0,12.797711670963373
components-shortcut,0.4131154046463636,33.10741572021767,0.4125999927795001,0.012464953646897712,0.0,18.289589985187625
radii,0.23161200838147983,39.89451260309296,13.965002220699956,0.3540216689615328,0.0,17.231195847524127
bc,0.24471245466127764,29.772876333202174,25.63296147468154,0.8609499768791282,0.0,21.806514705433987
cf,0.29259973465925976,16.138102607510344,16.06403177711857,0.9969272745382844,0.0,18.55732041959177
mis,0.38974576305826947,19.534326224114228,10.528294578868216,0.5394355785659782,0.0,18.770208102980682
bfs,0.4030613773492353,29.06827619651671,1.7246524439487956,0.059437936402206744,0.0,16.123852807434595
components,0.3997545770371036,36.2494880032025,0.09926499602940016,0.0027376543722731446,0.0,15.961983584131326
pagerank,0.3024610465955867,43.53844064571107,4.375607281219636,0.10056398218989096,0.0,19.978092332449513
bellmanford,0.35534985924900336,29.24134623265045,2.5939523897570234,0.08912697175346526,0.0,19.133875877976976

scale,0.223837366596607,41.72172934742326,20.86083848758921,0.4999991011883369,0.0,19.059014841154966
add,0.1695120511110692,62.66351136733403,20.846526874604194,0.3326732486034871,0.0,18.426772728932697
copy,0.1931867416164771,50.23711657881119,25.118594686017566,0.4999987807866912,0.0,19.514848423175696
triad,0.1941112824955183,53.77859740428524,17.943123788839145,0.33364595572383704,0.0,18.40834086842638

whiskey,0.8200278607676448,10.760526124215597,4.745397381365065,0.4674432601460921,0.0,21.400590414862048
charlie,0.8464237950057425,11.407691001083611,3.746917340756013,0.33809682577208144,0.0,20.531535541312927
merced,0.6097663231639093,15.500186800285906,6.00804225967831,0.4015559850166139,0.0,20.374137108669448
delta,0.5517019661248082,18.897321757787118,5.502729738620338,0.29524093121079936,0.0,20.884740494031035

